Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Sept15,286,142,49.7,73,25.5,20,7.0,23,8.0,26,9.1,2,0.7
Oct15,338,181,53.6,69,20.4,34,10.1,15,4.4,39,11.5,0,0
Nov15,351,187,53.3,89,25.4,30,8.5,10,2.8,34,9.7,1,0.3
Dec15,423,272,64.3,100,23.6,6,1.4,11,2.6,34,8.0,0,0
Jan16,317,183,57.7,67,21.1,19,6.0,13,4.1,31,9.8,4,1.3
Feb16,322,193,59.9,60,18.6,16,5.0,15,4.7,25,7.8,13,4.0
Mar16,477,299,62.7,75,15.7,32,6.7,14,2.9,37,7.8,20,4.2
Apr16,432,256,59.3,87,20.1,31,7.2,20,4.6,18,4.2,20,4.6
May16,479,337,70.4,66,13.8,15,3.1,16,3.3,24,5.0,21,4.4
Jun16,368,226,61.4,54,14.7,21,5.7,9,2.4,21,5.7,37,10.1
TOTALS,3793,2276,60.0,740,19.5,224,5.9,146,3.8,289,7.6,118,3.1

